==> connecting to <LAN_IP>:5555
==> capturing device facts
==> stopping prior instance + clearing logcat
==> launching soak: tiles=6 pool=live resolution=auto
==> streaming events to docs/findings/runs/long-soak-6t-live-upstairs-v3-20260531-2229/events.log
==> running for 118800 seconds (Ctrl+C aborts early)
[2026-06-01 00:02:07] pss=129.8MB java=29812KB native=26980KB graphics=4756KB
[2026-06-01 00:03:08] pss=130.0MB java=29716KB native=26896KB graphics=4756KB
[2026-06-01 00:04:09] pss=130.0MB java=29712KB native=26896KB graphics=4756KB
[2026-06-01 00:05:10] pss=130.1MB java=29724KB native=26904KB graphics=4756KB
[2026-06-01 00:06:10] pss=130.2MB java=29800KB native=26956KB graphics=4756KB
[2026-06-01 00:07:11] pss=130.1MB java=29708KB native=26908KB graphics=4756KB
[2026-06-01 00:08:12] pss=130.1MB java=29704KB native=26916KB graphics=4756KB
[2026-06-01 00:09:13] pss=131.5MB java=30356KB native=27688KB graphics=4756KB
[2026-06-01 00:10:13] pss=130.3MB java=29780KB native=27096KB graphics=4756KB
[2026-06-01 00:11:14] pss=131.4MB java=30276KB native=27784KB graphics=4756KB
[2026-06-01 00:12:15] pss=130.2MB java=29780KB native=26984KB graphics=4756KB
[2026-06-01 00:13:16] pss=130.0MB java=29680KB native=26896KB graphics=4756KB
[2026-06-01 00:14:16] pss=131.4MB java=30284KB native=27664KB graphics=4756KB
[2026-06-01 00:15:17] pss=130.3MB java=29776KB native=27032KB graphics=4756KB
[2026-06-01 00:16:18] pss=131.4MB java=30276KB native=27668KB graphics=4756KB
[2026-06-01 00:17:19] pss=130.3MB java=29784KB native=27052KB graphics=4756KB
[2026-06-01 00:18:19] pss=131.4MB java=30308KB native=27668KB graphics=4756KB
[2026-06-01 00:19:20] pss=130.3MB java=29784KB native=27052KB graphics=4756KB
[2026-06-01 00:20:21] pss=130.1MB java=29692KB native=26908KB graphics=4756KB
[2026-06-01 00:21:21] pss=130.1MB java=29692KB native=26908KB graphics=4756KB
[2026-06-01 00:22:22] pss=130.2MB java=29800KB native=26908KB graphics=4756KB
[2026-06-01 00:23:23] pss=130.3MB java=29844KB native=27012KB graphics=4756KB
[2026-06-01 00:24:23] pss=130.2MB java=29688KB native=27056KB graphics=4756KB
[2026-06-01 00:25:24] pss=130.2MB java=29676KB native=27056KB graphics=4756KB
[2026-06-01 00:26:25] pss=130.2MB java=29732KB native=27000KB graphics=4756KB
[2026-06-01 00:27:25] pss=132.9MB java=30868KB native=28664KB graphics=4756KB
[2026-06-01 00:28:26] pss=130.4MB java=29868KB native=27040KB graphics=4756KB
[2026-06-01 00:29:27] pss=130.1MB java=29684KB native=26948KB graphics=4756KB
[2026-06-01 00:30:28] pss=130.1MB java=29684KB native=26948KB graphics=4756KB
[2026-06-01 00:31:28] pss=131.2MB java=30080KB native=27716KB graphics=4756KB
[2026-06-01 00:32:29] pss=130.3MB java=29772KB native=27056KB graphics=4756KB
[2026-06-01 00:33:30] pss=131.3MB java=30276KB native=27640KB graphics=4756KB
[2026-06-01 00:34:30] pss=131.5MB java=30372KB native=27668KB graphics=4756KB
[2026-06-01 00:35:31] pss=131.6MB java=30448KB native=27744KB graphics=4756KB
[2026-06-01 00:36:32] pss=131.6MB java=30468KB native=27728KB graphics=4756KB
[2026-06-01 00:37:32] pss=131.5MB java=30372KB native=27668KB graphics=4756KB
[2026-06-01 00:38:33] pss=131.5MB java=30368KB native=27680KB graphics=4756KB
[2026-06-01 00:39:34] pss=133.0MB java=30964KB native=28636KB graphics=4756KB
[2026-06-01 00:40:35] pss=131.7MB java=30472KB native=27760KB graphics=4756KB
[2026-06-01 00:41:35] pss=131.4MB java=30368KB native=27636KB graphics=4756KB
[2026-06-01 00:42:36] pss=130.2MB java=29776KB native=26992KB graphics=4756KB
[2026-06-01 00:43:37] pss=130.1MB java=29724KB native=26908KB graphics=4756KB
[2026-06-01 00:44:37] pss=131.3MB java=30268KB native=27640KB graphics=4756KB
[2026-06-01 00:45:38] pss=130.2MB java=29788KB native=26932KB graphics=4756KB
[2026-06-01 00:46:39] pss=130.1MB java=29688KB native=26912KB graphics=4756KB
[2026-06-01 00:47:40] pss=130.1MB java=29692KB native=26912KB graphics=4756KB
[2026-06-01 00:48:40] pss=132.9MB java=30860KB native=28640KB graphics=4756KB
[2026-06-01 00:49:41] pss=131.7MB java=30480KB native=27768KB graphics=4756KB
[2026-06-01 00:50:42] pss=130.2MB java=29784KB native=26972KB graphics=4756KB
[2026-06-01 00:51:43] pss=129.9MB java=29736KB native=26876KB graphics=4756KB
[2026-06-01 00:52:43] pss=131.2MB java=30240KB native=27752KB graphics=4756KB
[2026-06-01 00:53:44] pss=133.0MB java=30968KB native=28780KB graphics=4756KB
[2026-06-01 00:54:45] pss=133.0MB java=31060KB native=28688KB graphics=4756KB
[2026-06-01 00:55:46] pss=131.6MB java=30464KB native=27824KB graphics=4756KB
[2026-06-01 00:56:46] pss=130.1MB java=29780KB native=26980KB graphics=4756KB
[2026-06-01 00:57:47] pss=130.0MB java=29692KB native=26952KB graphics=4756KB
[2026-06-01 00:58:48] pss=131.3MB java=30276KB native=27712KB graphics=4756KB
[2026-06-01 00:59:48] pss=130.1MB java=29784KB native=27036KB graphics=4756KB
[2026-06-01 01:00:49] pss=132.8MB java=30908KB native=28696KB graphics=4756KB
[2026-06-01 01:01:50] pss=131.8MB java=30476KB native=28064KB graphics=4756KB
[2026-06-01 01:02:50] pss=130.1MB java=29772KB native=26980KB graphics=4756KB
[2026-06-01 01:03:51] pss=129.9MB java=29688KB native=26884KB graphics=4756KB
[2026-06-01 01:04:52] pss=129.9MB java=29688KB native=26884KB graphics=4756KB
[2026-06-01 01:05:52] pss=132.8MB java=30868KB native=28692KB graphics=4756KB
[2026-06-01 01:06:53] pss=131.6MB java=30464KB native=27880KB graphics=4756KB
[2026-06-01 01:07:54] pss=132.9MB java=30956KB native=28696KB graphics=4756KB
[2026-06-01 01:08:54] pss=133.9MB java=31644KB native=29040KB graphics=4756KB
